"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gxs"
"remanei_genome_00006616",1.66384964719899,0.760563851043379,1.35708819344313,0.560438042802301,0.575180689045293,0.656132045281297,0
"remanei_genome_00006682",37.7755004828271,-0.4036833741984,0.435222455282556,-0.9275334241114,0.353649646119552,0.450099549606702,0
"remanei_genome_00006776",24.3591899174209,3.37706419581772,0.663738680879693,5.08794242839952,3.61969210656081e-07,2.1439714785014e-06,1
"remanei_genome_00006838",1201.856516713,-0.696895082067638,0.405529709746988,-1.71848095297983,0.0857089257018495,0.138574011108502,0
"remanei_genome_00006895",401.173308626833,0.168443069754655,0.210783689739674,0.799127626822971,0.424216411796489,0.526842060994388,0
"remanei_genome_00006898",836.244332288422,0.12757029704088,0.246706819737688,0.517092706138079,0.605091444998178,0.680175784888463,0
"remanei_genome_00006984",2764.35082657619,0.13139705575081,0.20013592287616,0.656539085350091,0.511477327879567,0.602428363238648,0
"remanei_genome_00007002",59.7083693723636,1.15168487981505,0.425415489252998,2.70720015822022,0.00678533337993348,0.0158324445531781,1
"remanei_genome_00007007",68.7867767116406,2.74179097173343,0.731381715544398,3.74878249409421,0.000177695107800752,0.000675680162995452,1
"remanei_genome_00007020",88.9805642491364,2.36335643795123,0.675684756461697,3.49772052033144,0.000469252592508267,0.00163310506771239,1
"remanei_genome_00007053",38.3367162618809,1.38351100712052,0.475578784977148,2.90911001672835,0.0036245928416313,0.00926451946242689,1
"remanei_genome_00007054",12.5316998471925,0.736891547129503,0.396040672781367,1.86064613504053,0.0627941651840749,0.107150154441524,0
"remanei_genome_00007132",229.631377062939,1.83786395210923,0.473789970504077,3.87906892616127,0.000104857043080034,0.000416722184111618,1
"remanei_genome_00007141",269.392507000794,-2.17091963982601,0.739960383987489,-2.93383225210975,0.00334805102022707,0.00873898062906727,-1
"remanei_genome_00007190",33.9824817906984,0.646212175043758,0.43021808813928,1.50205719577869,0.133082338153804,0.200928236036136,0
"remanei_genome_00007217",25.1933345682773,-0.573555333870868,0.909393988609955,-0.630700599580134,0.52823630696029,0.615116388318883,0
"remanei_genome_00007274",7.41919426837835,2.14671301624042,0.94502170463096,2.27160181159937,0.0231105713785011,0.046519560330629,1
"remanei_genome_00007275",3.20999448845495,3.59104254050799,1.17461547354457,3.05720690846299,0.00223410004398305,0.00622717478322877,1
"remanei_genome_00007299",2.36549561259462,-0.310838945328578,0.979745983714983,-0.317264832410892,0.751042659637971,0.798937330310609,0
"remanei_genome_00007329",21.0194268164369,-0.431307356330633,0.850550874629739,-0.507091779217074,0.612090422876952,0.684297097082037,0
"remanei_genome_00007338",4.59473740435664,3.72048246997875,1.33475555245756,2.78738864440652,0.00531347122082424,0.0127855401251083,1
"remanei_genome_00007319",2.60098309786413,-5.38307418098658,1.91537169274087,-2.81045929695426,0.0049470845926417,0.0120450755299102,-1
"remanei_genome_00007368",36.7285315648939,0.252535662745741,0.453984193471799,0.556265320196502,0.57802949109865,0.656796032258174,0
"remanei_genome_00007369",5.29945755753678,2.64023185075454,1.0159606762966,2.59875397970988,0.00935628023845179,0.0208821327061098,1
"remanei_genome_00007344",1.695953603378,0.968945884743519,1.59280562915939,0.608326507016983,0.542970943958716,0.626348504641515,0
"remanei_genome_00007397",3.5501912187892,1.38939121433284,1.0912123525794,1.27325466124775,0.202927689575819,0.287738850796755,0
"remanei_genome_00007398",3.46944071388331,1.17499259974784,1.27354495841187,0.922615720777598,0.356207500154031,0.452420247618315,0
"remanei_genome_00007405",3.62468961297833,3.46278928821863,1.0983399830483,3.15274809409024,0.00161741315563871,0.00467758922006313,1
"remanei_genome_00007406",28.8595607452334,0.95857346197696,0.393256933263485,2.43752463312505,0.01478820662547,0.0321891706052633,1
"remanei_genome_00007423",5.83235817605366,1.42701451909308,0.769895354643147,1.85351750791445,0.0638082190778278,0.108280614192678,0
"remanei_genome_00007425",4.57209514024933,0.544403027039337,1.01848307378995,0.534523391747218,0.592979470036283,0.669002479015294,0
"remanei_genome_00007426",19.1893343724776,1.37810976132652,0.51377266430763,2.68233375783759,0.00731104787241688,0.0167473642649442,1
"remanei_genome_00007432",15.4451769496616,1.91026792513827,0.97497985090574,1.95928964415384,0.0500788758488609,0.0889008285962487,0
"remanei_genome_00007433",138.028552079083,2.12941398801384,0.3550721385427,5.99713060211783,2.00834537497792e-09,1.69471335751561e-08,1
"remanei_genome_00007434",86.5080674071928,2.1554081959267,0.456560498029261,4.72096952152124,2.3472311293673e-06,1.26832839972829e-05,1
"remanei_genome_00007440",30.4053456795768,0.843243714112337,0.534980310216913,1.5762144849227,0.114976381439353,0.177507395906369,0
"remanei_genome_00007446",2.42145363904935,1.18403784636651,1.22803378893997,0.964173670977377,0.334958862217948,0.433476174634991,0
"remanei_genome_00007453",4.0924258752601,0.730283204081726,0.868496534515617,0.840859088158623,0.400426880240227,0.502368550362484,0
"remanei_genome_00007458",37.3789539690562,1.59421044701519,0.431400670766839,3.69542876273555,0.000219516024308443,0.000814589584180727,1
"remanei_genome_00007461",54.0477909320591,1.48983908273023,0.399244594173802,3.73164497270979,0.000190233480753692,0.000710204994813782,1
"remanei_genome_00007462",20.3767161810228,0.910760092971657,0.565033534507962,1.61186909687539,0.106990428203034,0.168127815747624,0
"remanei_genome_00007465",21.1026664733293,0.165751313761456,0.447627476983023,0.370288515080906,0.711167530258657,0.766784427792706,0
"remanei_genome_00007488",36.0871885729632,2.74613972128159,0.687296029906274,3.99557047005798,6.45386554206661e-05,0.000270447698905648,1
"remanei_genome_00007487",3.38418438901349,4.44374033028065,1.14848946902367,3.86920424621591,0.000109191144388786,0.000431165031689051,1
"remanei_genome_00007491",21.3610125067978,3.67743562888928,0.750423892557784,4.90047780375824,9.56038590269575e-07,5.5161402135643e-06,1
"remanei_genome_00007501",12.0978972415256,1.43660391539138,0.561487812881101,2.55856651281511,0.0105104711645248,0.0231230365619545,1
"remanei_genome_00007499",4.62148514341535,1.46224532810781,0.989223260123813,1.47817523814067,0.139360879869233,0.207860295398178,0
"remanei_genome_00007507",30.4817795100391,-0.221191146932831,0.674172788701027,-0.328092665025853,0.742841599782528,0.791678936792452,0
"remanei_genome_00007508",19.8310127692632,0.223514869963387,0.488451969227402,0.457598462172087,0.647240948547785,0.715799684569902,0
