"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","mxf"
"remanei_genome_00006895",401.173308626833,0.369872913178862,0.210783689481732,1.75475111043124,0.0793018894266699,0.141972075599722,0
"remanei_genome_00006898",836.244332288422,-0.571411064905118,0.246706819387934,-2.31615431759348,0.0205498444389303,0.0427698175778443,-1
"remanei_genome_00006984",2764.35082657619,-0.856827796748772,0.200135922759201,-4.28122940117896,1.85863635326376e-05,6.51629054804974e-05,-1
"remanei_genome_00007002",59.7083693723636,-0.215773484617823,0.425415476626975,-0.507206475722612,0.612009951779204,0.702179194794582,0
"remanei_genome_00007007",68.7867767116406,4.00037618868631,0.731381719725719,5.46961467697951,4.51015028107629e-08,2.18484727923485e-07,1
"remanei_genome_00007020",88.9805642491364,1.13370023333824,0.675684736388365,1.67785384556419,0.0933756346337897,0.162716712423971,0
"remanei_genome_00007053",38.3367162618809,0.334153308059336,0.475578765160479,0.702624533596616,0.4822897691282,0.583303232066755,0
"remanei_genome_00007054",12.5316998471925,0.273211079940353,0.3960406246768,0.689856198876855,0.490284623085741,0.590204059352007,0
"remanei_genome_00007132",229.631377062939,0.942437841452875,0.473789967604331,1.98914689185635,0.0466849918257593,0.0892774681343254,0
"remanei_genome_00007141",269.392507000794,5.57467634068872,0.739960483143486,7.53374871723755,4.93039653113137e-14,3.5851895763412e-13,1
"remanei_genome_00007190",33.9824817906984,-1.17715952055528,0.43021805739256,-2.7361927290773,0.00621546114908182,0.0147617202290693,-1
"remanei_genome_00007217",25.1933345682773,-6.9249016830583,0.909395099754502,-7.61484385051968,2.64010443195817e-14,2.01950845509527e-13,-1
"remanei_genome_00007274",7.41919426837835,1.11218783368877,0.945021138756223,1.17689201656649,0.23923860894747,0.344526994303324,0
"remanei_genome_00007275",3.20999448845495,0.973634669792349,1.17461267680312,0.828898486301233,0.407161851997966,0.51922800834308,0
"remanei_genome_00007299",2.36549561259462,0.16273545443599,0.979745826084577,0.166099665957589,0.86807851703211,0.906635187739379,0
"remanei_genome_00007329",21.0194268164369,-5.66661603113316,0.850551186545959,-6.66228690379585,2.69599065920655e-11,1.65410260236735e-10,-1
"remanei_genome_00007338",4.59473740435664,0.172463419641354,1.33475241993659,0.129210044548596,0.897191448437755,0.933649758179925,0
"remanei_genome_00007319",2.60098309786413,0.0702702608344377,1.91537287844592,0.036687509583749,0.97073416784778,0.984100559143446,0
"remanei_genome_00007368",36.7285315648939,0.544971468528899,0.453984187607898,1.20041949346391,0.229976461885831,0.334459595187048,0
"remanei_genome_00007369",5.29945755753678,1.85469586771626,1.01596002845667,1.82555988008081,0.0679165837119992,0.124619525876534,0
"remanei_genome_00007344",1.695953603378,1.10697990201384,1.59280562915939,0.694987437103705,0.487063174631011,0.587869282495216,0
"remanei_genome_00007397",3.5501912187892,-2.46246648933514,1.09121133700146,-2.25663572750423,0.0240308459876131,0.049402465947651,-1
"remanei_genome_00007398",3.46944071388331,1.09138379217388,1.27354443925249,0.856965613869324,0.391463888673589,0.5019118189718,0
"remanei_genome_00007405",3.62468961297833,-0.896299752699993,1.09833761696271,-0.81605122036936,0.414470841293275,0.523869797256951,0
"remanei_genome_00007406",28.8595607452334,0.196192934066641,0.393256908401894,0.498892530239135,0.617855096641015,0.70663427557584,0
"remanei_genome_00007423",5.83235817605366,1.35743187571362,0.76989511762307,1.76313869855997,0.0778770997520928,0.139846377298728,0
"remanei_genome_00007425",4.57209514024933,1.94208398826789,1.0184831633386,1.90683956119776,0.0565413666345347,0.105723380786479,0
"remanei_genome_00007426",19.1893343724776,-0.566969976086802,0.513772548552831,-1.10354275969749,0.269791533107446,0.37925349164746,0
"remanei_genome_00007432",15.4451769496616,3.88129744597188,0.974980031668232,3.98089942347929,6.86549959140558e-05,0.000224654403296549,1
"remanei_genome_00007433",138.028552079083,2.11351066561181,0.355072135115278,5.95234166974447,2.64332812069936e-09,1.40263086765038e-08,1
"remanei_genome_00007434",86.5080674071928,1.53563790056141,0.456560487769106,3.3634927719326,0.000769628516382297,0.00216895309162284,1
"remanei_genome_00007440",30.4053456795768,-1.91747294425334,0.534980211052138,-3.58419415268142,0.000338120510787009,0.00103188072981113,-1
"remanei_genome_00007446",2.42145363904935,-2.10338971578214,1.22803257501439,-1.7128126391578,0.0867470141303125,0.152065450365339,0
"remanei_genome_00007453",4.0924258752601,1.28001625367028,0.86849640009316,1.47383023525829,0.140527305384408,0.232303003670746,0
"remanei_genome_00007458",37.3789539690562,1.65751286228754,0.43140065420866,3.84216585236293,0.000121953380587994,0.000382077346629406,1
"remanei_genome_00007461",54.0477909320591,0.304995550777992,0.399244580144595,0.763931599691426,0.444908005162921,0.554018636450234,0
"remanei_genome_00007462",20.3767161810228,-0.107130045181462,0.565033452405764,-0.189599473668914,0.849622999680858,0.89843437488694,0
"remanei_genome_00007465",21.1026664733293,0.237671365382928,0.447627456434199,0.530957969549541,0.595447905234706,0.687683953300474,0
"remanei_genome_00007488",36.0871885729632,1.60200902624485,0.687295975394773,2.33088666833045,0.0197593364436549,0.0412880256893225,1
"remanei_genome_00007487",3.38418438901349,1.02121224463926,1.14848595244605,0.889181310806871,0.373905645312305,0.484022912283402,0
"remanei_genome_00007491",21.3610125067978,2.3246579142671,0.75042354241018,3.09779448923052,0.00194966579759219,0.00524362171133242,1
"remanei_genome_00007501",12.0978972415256,0.590796033175533,0.561487716136636,1.05219761037794,0.292708895635908,0.402816681143809,0
"remanei_genome_00007499",4.62148514341535,1.89020135495882,0.989223063407614,1.91079385922076,0.0560310771780069,0.105102880439,0
"remanei_genome_00007507",30.4817795100391,4.04170561211161,0.67417295883739,5.9950574390903,2.03413531425841e-09,1.0991795413745e-08,1
"remanei_genome_00007508",19.8310127692632,2.22566029421973,0.488451994930882,4.55655891943828,5.19984578475745e-06,2.01494024159351e-05,1
"remanei_genome_00007509",40.9139575114607,1.16348133398063,0.388861257280254,2.9920217357681,0.00277136530471651,0.00703592312275011,1
"remanei_genome_00007497",34.6336866966848,0.920655213684858,0.446139607038607,2.06360340835013,0.0390553341793409,0.075669709972473,0
"remanei_genome_00007541",17.8380830670229,0.0939378828236785,0.479251472785944,0.196009586110621,0.844602662906648,0.89843437488694,0
"remanei_genome_00007512",48.7742717361698,0.125642589736094,0.387733733321572,0.324043483809778,0.745905113509723,0.815670827926941,0
"remanei_genome_00007517",42.0129419694428,1.54053787829147,0.452169769887492,3.40698998669192,0.00065683536674683,0.00188720015128723,1
"remanei_genome_00007525",5.18658725289599,-0.643029861300278,0.871438967635164,-0.737894316391746,0.460578673032088,0.568722931689517,0
"remanei_genome_00014074",126.359552253913,-0.587112761246944,0.264474171411312,-2.21992475905657,0.0264238755111795,0.0536678023313266,0
"remanei_genome_00014070",969.08514430018,-1.90386082675838,0.221445982711258,-8.59740512538813,8.15387391008415e-18,9.80128925110116e-17,-1
"remanei_genome_00014142",68.0472445365478,1.16819494002774,0.379629005352849,3.07720148765229,0.00208954008355925,0.00554386986133514,1
"remanei_genome_00014175",108.896110373096,-4.74481132084373,0.471181528702227,-10.0700282838174,7.49565261214447e-24,1.33786042077366e-22,-1
"remanei_genome_00014208",17.8984103513382,0.726824714701084,0.589202395481713,1.2335739302398,0.217361712350637,0.324116578669683,0
"remanei_genome_00014250",63.585622374556,0.512275268601009,0.337033995434744,1.51995132698771,0.128523209043215,0.216286200361296,0
"remanei_genome_00014333",1467.696414578,4.19777191657722,0.285941233070068,14.6805407233751,8.59026886389079e-49,1.26491709020792e-46,1
"remanei_genome_00014365",3.97662785219602,1.52664612089899,1.3403152659663,1.13902016910802,0.254694741948921,0.362355562821049,0
"remanei_genome_00014489",27.8085030861066,-2.26376781631044,0.570519905066167,-3.96790330400111,7.2507740446106e-05,0.000235950602888157,-1
"remanei_genome_00014504",18820.9793786674,-0.0236774392531385,0.207155583003607,-0.114297857242526,0.909001681041809,0.9426091375592,0
"remanei_genome_00014558",1.60717510242562,1.63837588648266,1.31141146018068,1.24932253242391,0.211547129796971,0.31949040884722,0
"remanei_genome_00014580",2299.73005725689,2.27706879587064,0.259093041693678,8.78861424060466,1.51416015698681e-18,1.89753262226644e-17,1
"remanei_genome_00014597",1.28599067299508,-1.74215492731107,1.38918000166452,-1.25408868917175,0.209809771077437,0.317681118675091,0
"remanei_genome_00014624",2.12448199965128,-4.47044621591967,1.62677383500201,-2.74804408562064,0.00599519474634685,0.014296233625904,-1
